Serial No.,GRE Score,TOEFL Score,University Rating,Chance of Admit ,LOR ,CGPA,Research
1,337,118,4,0.92,4.5,9.65,1
2,324,107,4,0.76,4.5,8.87,1
3,316,104,3,0.72,3.5,8,1
4,322,110,3,0.8,2.5,8.67,1
5,314,103,2,0.65,3,8.21,0
6,330,115,5,0.9,3,9.34,1
7,321,109,3,0.75,4,8.2,1
8,308,101,2,0.68,4,7.9,0
9,302,102,1,0.5,1.5,8,0
10,323,108,3,0.45,3,8.6,0
11,325,106,3,0.52,4,8.4,1
12,327,111,4,0.84,4.5,9,1
13,328,112,4,0.78,4.5,9.1,1
14,307,109,3,0.62,3,8,1
15,311,104,3,0.61,2,8.2,1
16,314,105,3,0.54,2.5,8.3,0
17,317,107,3,0.66,3,8.7,0
18,319,106,3,0.65,3,8,1
19,318,110,3,0.63,3,8.8,0
20,303,102,3,0.62,3,8.5,0
21,312,107,3,0.64,2,7.9,1
22,325,114,4,0.7,2,8.4,0
23,328,116,5,0.94,5,9.5,1
24,334,119,5,0.95,4.5,9.7,1
25,336,119,5,0.97,3.5,9.8,1
26,340,120,5,0.94,4.5,9.6,1
27,322,109,5,0.76,3.5,8.8,0
28,298,98,2,0.44,2.5,7.5,1
29,295,93,1,0.46,2,7.2,0
30,310,99,2,0.54,2,7.3,0
31,300,97,2,0.65,3,8.1,1
32,327,103,3,0.74,4,8.3,1
33,338,118,4,0.91,4.5,9.4,1
34,340,114,5,0.9,4,9.6,1
35,331,112,5,0.94,5,9.8,1
36,320,110,5,0.88,5,9.2,1
37,299,106,2,0.64,4,8.4,0
38,300,105,1,0.58,2,7.8,0
39,304,105,1,0.52,1.5,7.5,0
40,307,108,2,0.48,3.5,7.7,0
41,308,110,3,0.46,3,8,1
42,316,105,2,0.49,2.5,8.2,1
43,313,107,2,0.53,2,8.5,1
44,332,117,4,0.87,4,9.1,0
45,326,113,5,0.91,4,9.4,1
46,322,110,5,0.88,4,9.1,1
47,329,114,5,0.86,5,9.3,1
48,339,119,5,0.89,4,9.7,0
49,321,110,3,0.82,5,8.85,1
50,327,111,4,0.78,4,8.4,1
51,313,98,3,0.76,4.5,8.3,1
52,312,100,2,0.56,3.5,7.9,1
53,334,116,4,0.78,3,8,1
54,324,112,4,0.72,2.5,8.1,1
55,322,110,3,0.7,3.5,8,0
56,320,103,3,0.64,3,7.7,0
57,316,102,3,0.64,3,7.4,0
58,298,99,2,0.46,2,7.6,0
59,300,99,1,0.36,2,6.8,1
60,311,104,2,0.42,2,8.3,0
61,309,100,2,0.48,3,8.1,0
62,307,101,3,0.47,3,8.2,0
63,304,105,2,0.54,3,8.2,1
